chunk,chunk_index,source_file,chunk_length,timestamp,date_filed,bill_subtitle,bill_sponsor
"Stricken language would be deleted from and underlined language would be added to present law.   *LGL014*  12/09/2024 9:00:43 AM LGL014  State of Arkansas      1  95th General Assembly   A Bill      2  Regular Session, 2025   HOUSE  BILL  1058  3   4  By: Representatives Unger, Lundstrum  5  By: Senator J. Bryant  6   7  For An Act To Be Entitled  8  AN ACT TO AMEND THE LAW CONCERNING ETHICS AND 9  CONFLICTS OF INTEREST FOR PUBLIC OFFICERS AND 10  EMPLOYEES; TO PROHIBIT PUBLIC EMPLOYEES FROM GIVING 11  ADVANCE NOTICE TO ENTITIES OF REQUIRED INSPECTIONS; 12  AND FOR OTHER PURPOSES.  13   14   15  Subtitle  16  TO AMEND THE LAW CONCERNING ETHICS AND 17  CONFLICTS OF INTEREST FOR PUBLIC 18  OFFICERS AND EMPLOYEES; AND TO PROHIBIT 19  PUBLIC EMPLOYEES FROM GIVING ADVANCE 20  NOTICE TO ENTITIES OF REQUIRED 21  INSPECTIONS.  22   23  BE IT ENACTED BY THE GENERAL ASSEMBLY OF THE STATE OF ARKANSAS:  24   25   SECTION 1.  Arkansas Code Title 21, Chapter 8, Subchapter 3, is amended 26  to add an additional section to read as follows:  27   21-8-311.  Advance notice of inspections prohibited.  28   (a)  A public servant shall not provide an entity subject to inspection 29  by a governmental body advance notice of an inspection that is outside of the 30  notice regularly provided to all persons before an inspection.   31   (b)(1)  A person convicted under this section shall thereafter be 32  ineligible to hold any office or employment in any of the departments in this 33  state. 34    (2)(A)  If a person is convicted under this section while 35  employed by any of the departments of this state, he or she shall be removed 36   HB1058      2 12/09/2024 9:00:43 AM  from employment immediately.  1    (B)  If a person is convicted under this section while holding 2  public office, the conviction also shall be deemed a misfeasance and 3  malfeasance in office and shall subject the person to impeachment.  4   5   6   7   8   9   10   11   12   13   14   15   16   17   18   19   20",0,HB1058.pdf,1996,2025-01-12 23:37:46,,16,
"1    (B)  If a person is convicted under this section while holding 2  public office, the conviction also shall be deemed a misfeasance and 3  malfeasance in office and shall subject the person to impeachment.  4   5   6   7   8   9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36",1,HB1058.pdf,367,2025-01-12 23:37:46,,16,
