chunk,chunk_index,source_file,chunk_length,timestamp,date_filed,bill_subtitle,bill_sponsor
"Stricken language would be deleted from and underlined language would be added to present law.   *ANS079*  12/13/2024 2:09:25 PM ANS079  State of Arkansas      1  95th General Assembly   A Bill      2  Regular Session, 2025   SENATE  BILL  10 3   4  By: Senator B. King  5   6   7  For An Act To Be Entitled  8  AN ACT TO AMEND THE ARKANSAS DATA CENTERS ACT OF 9  2023; TO AMEND THE LAW CONCERNING THE POWERS OF THE 10  ARKANSAS NATURAL RESOURCES COMMISSION; TO MONITOR THE 11  IMPACT OF BLOCKCHAIN NETWORKS AND DIGITAL ASSET 12  MINING ON WATER USAGE; TO ALLOW FOR THE CLOSURE OF 13  BLOCKCHAIN NETWORKS OR DIGITAL ASSET MINING 14  OPERATIONS IF WATER USAGE IS EXCESSIVE; TO AMEND THE 15  LAW CONCERNING THE AUTHORITY OF THE ARKANSAS PUBLIC 16  SERVICE COMMISSION; TO MONITOR THE IMPACT OF 17  BLOCKCHAIN NETWORKS AND DIGITAL ASSET MINING ON THE 18  ELECTRIC GRID; TO ALLOW FOR THE HALT OF BLOCKCHAIN 19  NETWORKS OR DIGITAL ASSET MINING OPERATIONS IF THE 20  ELECTRIC GRID IS THREATENED; AND FOR OTHER PURPOSES.  21   22   23  Subtitle  24  TO AMEND THE ARKANSAS DATA CENTERS ACT 25  OF 2023; AND TO REGULATE THE IMPACT ON 26  WATER USAGE AND THE ELECTRIC GRID BY 27  BLOCKCHAIN NETWORKS AND DIGITAL ASSET 28  MINING. 29   30  BE IT ENACTED BY THE GENERAL ASSEMBLY OF THE STATE OF ARKANSAS:  31   32   SECTION 1.  Arkansas Code Title 14, Chapter 1, Subchapter 6, is amended 33  to add additional sections to read as follows:  34   14-1-607.  Arkansas Natural Resources Commission to monitor impact of 35  blockchain networks and digital asset mining on water usage — Rules. 36   SB10      2 12/13/2024 2:09:25 PM   The Arkansas Natural Resources Commission:  1    (1)  Shall monitor the impact of blockchain networks and digital 2  asset mining on water usage in this state;  3    (2)  May take action under § 15 -22-204 against a blockchain 4  network or a digital asset mining business if the impact of the blockchain 5  network or digital asset mining business threatens the critical groundwater",0,SB10.pdf,2000,2025-01-20 16:55:13,,24,
networks and digital 2  asset mining on water usage in this state;  3    (2)  May take action under § 15 -22-204 against a blockchain 4  network or a digital asset mining business if the impact of the blockchain 5  network or digital asset mining business threatens the critical groundwater 6  supplies of this state through an excessive use of water; and  7    (3)(A)  Shall promulgate rules to implement this section.  8     (B)  A proposed rule by the commission promulgated under 9  this section shall be approved by the Legislative Council or Joint Budget 10  Committee under § 10 -3-309. 11   12   14-1-608.  Arkansas Public Service Commission to monitor impact of 13  blockchain networks and digital asset mining on electric grid — Rules. 14   The Arkansas Public Service Commission:  15    (1)  Shall monitor the impact of blockchain networks and digital 16  asset mining on the electric grid;  17    (2)  May direct a utility to halt service to a blockchain network 18  or digital asset mining business if the impact of the blockchain network or 19  digital asset mining business threatens the reliability of the electric grid; 20  and 21    (3)(A)  Shall promulgate rules to implement this section.  22     (B)  A proposed rule by the commission promulgated under 23  this section shall be approved by the Legislative Council or Joint Budget 24  Committee under § 10 -3-309. 25   26   27   28   29   30   31   32   33   34   35   36,1,SB10.pdf,1442,2025-01-20 16:55:13,,24,
